,final_price,list_price,bedrooms,bathrooms,sqft,parking,type,full_address,lat,long
134,1270000.0,1199000.0,3.51,2.0,,4.0,3,"30 Bearbury Dr, Toronto ",43.633940696023295,-79.5733194512202
135,815000.0,769000.0,2.0,2.0,1500.0,1.0,1,"427 Melita Cres, Toronto ",43.67287783333333,-79.4265297888889
136,842000.0,849900.0,4.51,4.0,,2.0,3,"189 Raponi Cir, Toronto ",43.82731504193078,-79.23291224851262
137,1010000.0,899999.0,3.51,4.0,,4.0,3,"5 Jordanroch Crt, Toronto ",43.81064925593866,-79.32547706243767
138,978000.0,998888.0,3.51,4.0,,2.0,3,"92 Ambercroft Blvd, Toronto ",43.81361879999999,-79.3144855
139,790000.0,849500.0,3.52,2.0,,6.0,3,"7 Bucksburn Rd, Toronto ",43.74857673574039,-79.60031785258984
140,820000.0,749900.0,3.0,1.0,,2.0,3,"31 Tilden Cres, Toronto ",43.69458658734723,-79.51701057229761
141,835000.0,839000.0,3.53,4.0,,3.0,2,"234 Roywood Dr, Toronto ",43.763086468609885,-79.33506221681859
142,1360000.0,1079000.0,3.51,3.0,,1.0,2,"15 Glenmount Park Rd, Toronto ",43.67821420666667,-79.30403433333333
143,1070000.0,1099000.0,3.52,2.0,,3.0,3,"16 Helsby Cres, Toronto ",43.6065375265123,-79.55585887486181
144,1080000.0,1249880.0,3.0,2.0,1500.0,4.0,3,"71 Orangewood Cres, Toronto ",43.79159840061413,-79.32614556154013
145,1010000.0,899999.0,3.51,4.0,,4.0,3,"5 Jordanroch Crt, Toronto ",43.81064925593866,-79.32547706243767
146,1270000.0,1199000.0,3.51,2.0,,4.0,3,"30 Bearbury Dr, Toronto ",43.633940696023295,-79.5733194512202
147,950000.0,999000.0,3.51,2.0,,3.0,3,"22 Duncombe Blvd, Toronto ",43.7384874,-79.2142605
148,1019000.0,998000.0,4.51,3.0,1500.0,2.0,2,"60 Sellers Ave, Toronto ",43.68259331707317,-79.44614338292682
149,1150000.0,999900.0,3.0,2.0,,2.0,2,"95 Brooklyn Ave, Toronto ",43.6651956,-79.33700156666667
150,790000.0,849500.0,3.52,2.0,2000.0,6.0,3,"7 Bucksburn Rd, Toronto ",43.74857673574039,-79.60031785258984
